Recipe Name,Recipe ID,Preparation Time (min),nutrition,Number of Steps,Steps,Description,Products,Number of Products,Taste Rating,Shelf Time
chicken breasts with champagne sauce,142561,35,"[496.5, 34.0, 3.0, 16.0, 112.0, 65.0, 1.0]",13,"['heat butter in a medium skillet', 'add chicken , and brown on both sides , about 6--10 minutes per side', 'remove chicken to a 1-quart baking dish , reserving drippings in skillet', 'add mushrooms to skillet , and saut', 'remove mushrooms , and set aside', 'stir champagne into drippings in skillet', 'simmer until thoroughly heated , stirring occasionally', 'pour over chicken', 'cover and bake at 350f for 20 minutes or until chicken is done', 'remove chicken to platter , reserving liquid', 'add sour cream , salt , and pepper to reserved liquid', 'whisk until smooth', 'pour over chicken , top with mushrooms , and serve']","feeling romantic? this is a simple but impressive dish for you and your special someone to enjoy, without you spending the day slaving away in the kitchen. uummmm!  also great for the weeknight rush of family dinners!  from southern living, feb. 1986.","['butter', 'boneless skinless chicken breast halves', 'fresh mushrooms', 'champagne', 'sour cream', 'salt', 'white pepper']",7,9,9
delightful apple spice mini muffins,210039,17,"[65.8, 4.0, 14.0, 2.0, 1.0, 8.0, 3.0]",9,"['preheat oven 350 degrees f', 'line mini muffin pan with paper liners', 'in a large bowl , cream together the butter or margarine and sugar', 'add eggs and beat until smooth', 'blend in cinnamon , allspice , baking powder and baking soda', 'alternately add ina half a cup of applesauce , one cup of flour , remaining applesauce , and remaining flour', 'stir just until blended together', ""pour batter into mini muffin cups 2 / 3's of the way full"", 'bake in preheated 350 degree f oven for 17 to 20 minutes']",my son made these for our county fair and won a blue ribbon. they are very easy to make and delicious!!,"['butter', 'granulated sugar', 'eggs', 'all-purpose flour', 'ground cinnamon', 'allspice', 'baking powder', 'baking soda', 'applesauce']",9,10,24
mini cajun burgers with easy rmoulade,389727,30,"[624.2, 61.0, 12.0, 43.0, 56.0, 59.0, 12.0]",13,"['1', 'combine ground beef and sausage in a large bowl', 'shape mixture into 12 patties , and place on a large baking sheet', 'sprinkle patties evenly with cajun seasoning', 'cover and chill up to 1 day , if desired', 'grill , covered with grill lid , over medium-high heat 5 minutes on each side or until no longer pink in center', 'serve on split rolls with green leaf lettuce and easy rmoulade', 'easy rmoulade:', 'stir together mayonnaise , mustard and parsley', 'chill 30 minutes', 'store , covered up to three days', 'cover and chill 30 minutes or up to 3 days', 'makes 1 cup']","from southern living. a great tailgate recipe! remoulade makes one cup, prep time is about five minutes and chill time is at least 30 minutes.","['ground beef', 'sausage', 'cajun seasoning', 'dinner rolls', 'green leaf lettuce', 'light mayonnaise', 'creole mustard', 'fresh parsley']",8,8,26
tiger butter with a crunch,189157,15,"[47.1, 4.0, 14.0, 0.0, 1.0, 6.0, 1.0]",8,"['cover an 8 by 8in pan in wax paper', 'melt the 2 pkgs chocolate together in a microwave safe bowl in the microwave for about 40 seconds take out and stir', 'place in microwave for another 30 seconds , stir and repeat this until chocolate is fully melted', ""just make sure you watch it so you don't burn the chocolate"", 'stir in peanut butter', ""stir in rice crispy's"", 'pour into pan and let set', 'cut into small bite size pieces']","i've made this for my church group and they love it!  it's different then the other tiger butter recipe's out there because i add a bit of a crunch to it.  i tried this last year at christmas and fell in love with it, now i make it whenever i'm in the mood for something really rich and sweet.","['white chocolate chips', 'milk chocolate chips', 'crunchy peanut butter', 'crispy rice cereal']",4,10,4
claussen like refrigerator pickles,264500,10019,"[17.4, 0.0, 2.0, 72.0, 0.0, 0.0, 0.0]",7,"['combine the water , vinegar and salt and bring it to a boil', 'put the spices and cucumbers in quart jars', 'pour the brine mixture over the cucumbers and spices in the jars and seal', 'put them in the refrigerator: ready in 7-10 days', 'keeps 8 - 19 weeks', 'brine can be re used', 'this recipe can be mul']",found this online and i wanted to save it so i can make yummy pickles!,"['distilled water', 'white vinegar', 'kosher salt', 'dried garlic', 'yellow mustard seeds', 'black peppercorns', 'whole allspice', 'dried cayenne pepper', 'dill seed', 'dill weed', 'turmeric', 'sugar', 'cucumber']",13,2,16
basil herbal butter,258574,185,"[3316.0, 570.0, 2.0, 5.0, 11.0, 1174.0, 2.0]",5,"['let butter soften to room temperature', 'beat in other ingredients', 'pack butter into molds or crocks or form balls with a melon baller', 'chill for at least 3 hours before serving', 'can be stored for upto 1 month in the refrigerator or 3 months in the freezer']",cooking time is chilling time. herb butters are a nifty way to spice up any meal. i like herbed butters as a quick easy way to flavor frozen or canned veggies. just add a dab of herbed butter and heat up the veggies. you can substitute margarine for the butter. if you choose to use dried herbs instead of fresh use 1 1/2 times the amount called for.,"['sweet unsalted butter', 'fresh basil', 'fresh parsley', 'shallot', 'fresh ground black pepper', 'paprika', 'hot sauce', 'lemon juice']",8,4,11
chicken gravy  easy,16200,10,"[43.2, 1.0, 0.0, 1.0, 4.0, 1.0, 2.0]",4,"['bring chicken stock to a boil', 'dissolve cornstarch in a small amount of cold water and add to chicken stock', 'season to taste with poultry seasoning and cook until thickened', 'serve !']",almost foolproof,"['low sodium chicken broth', 'cornstarch', 'poultry seasoning']",3,4,9
tabbouleh    armenian cracked wheat salad,21209,65,"[149.9, 11.0, 6.0, 0.0, 6.0, 5.0, 6.0]",7,"['soak bulgur in cold water to cover , for an hour or so', 'squeeze out the water with hands and mix with other ingredients except oil , lemon juice and salt', 'mix with olive oil , lemon juice and salt , using proportions agreeable to your taste', 'it is important that vegetables be minced very fine', 'serve in a bowl or dish surrounded with romaine leaves or fresh tender grape leaves', 'the leaves are used to scoop up the salad', 'prepare the mixture early enough so flavors blend']",this goes excellent with armenian shish-kabob! an awesome salad that's truly a taste sensation!,"['bulgur', 'fresh parsley', 'scallion', 'tomatoes', 'of fresh mint', 'ground red pepper', 'olive oil', 'lemon juice', 'salt']",9,9,24
scallion biscuits,223942,28,"[104.9, 7.0, 3.0, 9.0, 4.0, 14.0, 4.0]",7,"['put oven rack in middle position and preheat oven to 450f', 'whisk together flour , baking powder and salt', 'blend in butter with your finger', 'add scallions and cup milk and stir with a fork just until a dough forms', 'turn out dough onto a lightly floured surface and knead 6-8 times , then pat into an 8-inch square', 'cut into 16 squares and transfer to a buttered baking sheet , about 1 inches apart', 'brush with remaining tablespoon milk , then bake until golden , 12 to 15 minutes']","i prefer these biscuits with the added garlic, but i'm a bit of a garlic fiend. they're so insanely easy, even i could whip them out. i baked them on my seasoned and cornmeal sprinkled pizza stone and they came out beautifully, rose high and were light and fluffy.  and i forgot to brush the tops with milk, but it really didn't make a difference as far as i could tell.  this afternoon we had them with recipe #217450 and wow, what a burst of flavor! courtesy epicurious/gourmet.com.","['all-purpose flour', 'baking powder', 'salt', 'unsalted butter', 'scallion', 'whole milk', 'dried garlic', 'garlic powder']",8,6,17
tarragon mustard,310565,45,"[85.8, 8.0, 5.0, 2.0, 4.0, 2.0, 1.0]",8,"['combine the port , vinegar , mustard seeds , shallots and garlic in a medium saucepan and bring to a simmer over low heat', 'simmer for 30 minutes , stirring occasionally', 'remove from the heat and set aside to cool', 'transfer the mustard seed mixture to a blender and add the chili powder , ginger , salt and mustard oil', 'with the blender running on low speed , add 1 / 2 cup water and blend , adding a little more water if the mustard is too thick', 'add the olive oil in a slow , steady stream until well-blended', 'transfer to a bowl and stir in the tarragon', 'store in a tightly-covered container in the refrigerator for up to one week']","after one taste of this sharp, spicy homemade mustard, you'll find that it's worth the time to make your own. you can grind it by hand with a mortar and pestle to get a nice chunky texture, or make it in a blender being careful to use a low speed so you don't crush the seeds.","['ruby port', 'red wine vinegar', 'mustard seeds', 'shallots', 'garlic cloves', 'chili powder', 'ground ginger', 'salt', 'mustard oil', 'water', 'olive oil', 'tarragon']",12,5,5
calico beans,64832,75,"[852.0, 43.0, 218.0, 76.0, 70.0, 47.0, 39.0]",8,"['fry bacon until crisp', 'remove from skillet and crumble', 'brown hamburger with chopped onions and crumbled bacon', 'combine beans , sugar , and vinegar', 'add meat mixture and mix well', 'place in greased baking dish', 'if desired , 1 tsp or t mustard may be added according to taste', 'bake in a 3 quart casserole dish at 350 for 45 minutes']",,"['hamburger', 'bacon', 'onion', 'butter beans', 'ketchup', 'white beans', 'vinegar', 'pork & beans', 'kidney beans', 'brown sugar', 'granulated sugar']",11,3,16
cajun cabbage and beef,282824,80,"[334.0, 23.0, 26.0, 40.0, 48.0, 36.0, 8.0]",6,"['brown meat and add pepper , onion , garlic and drain if necessary', 'stir in rotel and tomato sauce and rice and all the seasonings', 'spread in 13 x 9 x 2"" pan', 'top with chopped cabbage', 'cover with cheese', 'cover with foil and bake at 350f for 65 to 75 minutes or until rice is tender']",my dh and i were at a friend's house several years ago and this was a dish she made. my dh loves this during cold weather as it is a real comfort food with some french bread.,"['hamburger', 'bell pepper', 'onion', 'minced garlic cloves', 'rotel tomatoes', 'tomato sauce', 'long grain rice', 'salt', 'dried basil', 'oregano', 'white pepper', 'black pepper', 'cayenne pepper', 'hot pepper sauce', 'cabbage', 'cheddar cheese']",16,5,12
skillet sausage and chicken,302023,60,"[608.1, 70.0, 23.0, 47.0, 70.0, 87.0, 5.0]",23,"['salt and pepper the chicken well', 'add 1 tbsp oil to a large skillet pan', 'season the chicken with the poultry seasoning', 'sautee the chicken until no longer pink', 'remove the chicken pieces to a plate', 'add 1 tsp butter and saut the onions with 1 / 2 tsp salt', 'cook the onions until golden , for about 3-5 minutes', 'add the minced garlic and cook for about 30 seconds', 'add the sausage slices', 'saut until browned , about 8-10', 'while the chicken and sausage is cooking , add the 1 / 4 cup hot water to a medium size skillet pan and add the carrots , just enough water to cover the carrots', 'cook the carrots until softened , about 5-7 minutes', 'i personally like my carrots to have some crunch to them and this amount of time is perfect', 'remove the carrots from the pan to a separate bowl , salt and pepper to taste', 'and wipe the pan with a paper towel', 'add 1 tbsp butter and the asparagus , seasoning to taste with salt and pepper', 'cook for about 5 minutes and they are bright green and softened', 'remove them and place them into the bowl with the carrots', 'wipe the pan with a paper towel', 'add the rest of the butter to the pan and add the zucchini', 'salt and pepper to taste and cook for about 5 minutes or until softened', 'return to the sausage and add the chicken back to the pan , cooking together for about 3 minutes', 'add the vegetables to the meat and cook together for about 2-3 more minutes and well combined']","i came up with this when i had these ingredients that needed to get used up. this came together great and turned out to be a great one dish meal. i learned from reading an america's test kitchen cookbook that by cooking the vegetables separately each vegetable will have their full flavor when you combine them later and it does taste much better that way after doing it. it might take a few extra minutes, but the flavor of the dish will be awesome! you may also enjoy this with steamed rice.","['chicken breasts', 'polish sausage', 'yellow onion', 'garlic', 'carrots', 'hot water', 'asparagus', 'zucchini', 'butter', 'salt and pepper', 'poultry seasoning']",11,6,17
creamy kielbasa and kraut,330422,90,"[676.7, 80.0, 34.0, 131.0, 58.0, 101.0, 5.0]",14,"['in saucepan , cook bacon and mushrooms together', 'cook until bacon is crisp , sauteing mushrooms at the same time', 'drain bacon and mushrooms , leaving drippings behind', 'brown ham and onions in reserved drippings', 'after ham and onions have browned , stir in bacon and mushroom mixture , sliced kielbasa , wine , bullion cubes , paprika , bay leaf , and water', 'cover and simmer for about an hour', 'remove bay leaf', 'stir in sauerkraut', 'raise heat and bring to near boil', 'as mixture is heating , stir in sour cream', 'stir constantly until it reaches a boil', 'lower heat and let simmer 20 more minutes , stirring regularly', 'serve with sourdough bread', 'refrigerate leftovers and discover how good it is the second day']","this is one of those recipes that tastes better the next day, but is darn good right off the stove.  having spent half my adult life in germany, i fell in love with anything that had sausage in it.  this an awesome ""comfort food"" type dish.  if you love kielbasa and sauerkraut, i think you'll really enjoy this.  it goes great with slices of sourdough bread to mop up the juices.","['bacon', 'cubed ham', 'onion', 'kielbasa', 'dry white wine', 'portabella mushrooms', 'beef bouillon cubes', 'paprika', 'bay leaf', 'water', 'sauerkraut', 'sour cream']",12,7,16
cranberry almond chocolate bars with tangerine zest,155949,25,"[229.4, 22.0, 92.0, 0.0, 5.0, 38.0, 9.0]",12,"['preheat oven to 400f', 'line a 13 by 9-inch baking pan with foil', 'lay out almond slivers on baking sheet', 'bake in oven until light brown , shaking the baking pan occasionally to mix , about 10 to 15 minutes', 'melt the chocolate morsels in a double boiler over low heat', 'mix in the cranberries , almond slivers and tangerine zest', 'pour into prepared pan', 'smooth the chocolate mixture out into an even layer', 'cool to room temperature and then refrigerate until hard , at least 1 hour', 'break up chocolate into jagged , varied sized pieces', ""or you may pour circles of the chocolate mixture on the foil and let cool , then you don't have to break them up"", ':)']",easy and yummy! adapted from good deal with dave lieberman.,"['slivered almonds', 'chocolate chips', 'dried cranberries', 'tangerine, zest of']",4,2,8
ramen noodle peanut bread,336771,80,"[311.5, 19.0, 74.0, 15.0, 18.0, 12.0, 14.0]",14,"['boil two cups of water', 'remove from heat and add ramen noodles and let noodles soak for 2 minutes', 'do not use the seasoning packet', 'strain water from noodles and blot dry with a paper towel', 'place noodles on a cutting board and cut cross wise until noodles are all about 1 long', 'preheat oven to 350 degrees f', 'in a bowl use an electric mixer to mix flour , sugar , nutmeg , baking powder , vanilla , egg , milk , and cottage cheese together until well blended', 'fold in ramen noodles and mix well with spoon', 'add 1 / 2 cup chopped peanuts into batter', 'grease inside of baking dish with pat of margarine', 'pour batter into 2-quart square baking dish', 'sprinkle remaining peanuts over uncooked batter', 'bake for 50-60 minutes or until inserted toothpick in middle comes out clean', 'cooking time does not include boiling water']","this new ""dinning on a $ cooking contest"" recipe was created with ramen noodles the ""star"" ingredient, plus four others on the special ingredient list which include egg, nutmeg, cottage cheese and peanuts. the noodles and the cottage cheese give the bread body & moisture, where as the peanuts give it a nice crunchy texture, the peanut flavor doesn't over power the nutmeg. serve warm with sweet butter. enjoy!","['egg', 'ramen noodles', 'nutmeg', 'salted peanuts', 'low fat cottage cheese', 'sugar', 'all-purpose flour', 'vanilla extract', 'baking powder', 'low-fat milk', 'margarine', 'butter']",12,10,29
manhattan style crock pot clam chowder,210550,28,"[312.7, 17.0, 46.0, 31.0, 33.0, 17.0, 12.0]",11,"['drain clams , reserving liquid place clams in a small bowl', 'cover and chill', 'in a 3', '4-4 quart slow cooker , combine reserved clam liquid , potatoes , onion , celery and sweet pepper', 'stir in undrained tomatoes , hot tomato juice , thyme and bay leaf', 'cover and cook on low heat steeping for 8-10 hours or on high heat setting for 4-5 hours', 'if using low-heat setting , turn to high-heat setting', 'stir in chilled clams', 'cover and cook on high heat setting for 5 minutes more', 'discard bay leaf', 'sprinkle individual servings with bacon']","this is from better homes and gardens slow-cooker meals cookbook

serves: 4","['baby clams', 'potatoes', 'onion', 'celery & leaves', 'sweet green pepper', 'italian-style stewed tomatoes', 'spicy vegetable juice', 'dried thyme', 'bay leaf', 'bacon']",10,6,9
chipotle chile sour cream dip,167330,10,"[678.6, 97.0, 17.0, 51.0, 17.0, 151.0, 7.0]",7,"['puree chilies and mayonnaise in blender or food processor', 'add sour cream , cream cheese , lime juice and salt', 'process until combined', 'transfer dip to serving dish', 'sprinkle with chopped green onions', 'cover and chill until ready to serve', 'serve with chips or vegetables']",this dip can be prepared and kept refrigerated up to five days before serving.  top with green onions just before serving.,"['chipotle chiles in adobo', 'mayonnaise', 'sour cream', 'cream cheese', 'fresh lime juice', 'salt', 'green onions', 'tortilla chips']",8,1,23
hot spiced apple cider in a crock pot,272557,270,"[45.0, 1.0, 26.0, 1.0, 0.0, 2.0, 3.0]",11,"['pour enough cider to fill crock pot to full', 'add brown sugar', 'stick whole cloves into skin of orange and apple wedges', 'place apple , orange and all remaining ingredients into cheese cloth , tie with string and drop into crock pot', 'bring to a boil , about 2 to 2 hours on high', 'once the cider is boiling , reduce setting to low', 'keep on low for 2 hours or more before serving', 'replenish with additional cider when needed', 'if cider is cold , return setting to high until heated', 'serve or have guests serve themselves from the crock pot', 'if desired , leave a bottle of spiced rum nearby']","i recently made this for a holiday party, and it was a big hit.  i kept the crock pot on low throughout the evening, so the flavors continued to infuse.  the house smelled great, too.  i hope you enjoy it!","['apple cider', 'whole nutmegs', 'cinnamon sticks', 'orange', 'apple', 'whole cloves', 'crystallized ginger', 'brown sugar', 'cloth', 'string']",10,10,7
porcini and chanterelle risotto,480882,195,"[1463.0, 105.0, 62.0, 39.0, 139.0, 113.0, 39.0]",33,"['warm a wide large heavy-bottomed pan over a medium-low flame', 'add 2 tablespoons olive oil and 2 tablespoons butter and melt together', 'add shallots and cook for 2 minutes , or until translucent , and then toss the mushrooms , thyme , and bay leaf into the pan', 'cook for 10 minutes , stirring occasionally , until the mushrooms have released their moisture and begin to turn golden brown', 'pour 1 cup of the wine into the pan , and bring the liquid to a simmer , allowing the wine to evaporate', 'continue cooking until the mushrooms are dry , about 5 to 7 minutes', 'season with sea salt and freshly ground black pepper', 'remove mushrooms from the pan and set aside', 'discard the bay leaf', 'reduce the flame to low , and add the remaining butter and oil to the pan and melt', 'stir in the rice and coat with the oil until the kernels are shiny , about 3 to 5 minutes', 'pour in the remaining 1 cup of white wine and let evaporate', 'add the chicken broth , 1 ladle at a time , allowing the rice to absorb the liquid', 'do not add too quickly so as to prevent the kernels from exploding', 'stir over a gentle flame until each ladle of the liquid is absorbed', 'repeat until most of the broth is incorporated and the risotto rice is al dente , about 25 minutes', 'fold the mushrooms back into the rice and season with salt , pepper and parsley', 'stir in the parmesan and finish with slices of white truffle , if available', 'serve immediately', 'chicken stock:', 'put the chicken , vegetables , and giblets in a large stockpot over medium heat', 'pour in enough cold water to cover by 1 inch', 'too much water will make the broth taste weak', 'toss in the herbs and peppercorns and allow it to slowly come to a boil', 'reduce the heat and gently simmer for 1 hour , uncovered , until the chicken is done', 'as the stock cooks , skim any impurities that rise to the surface', 'add a little more water , if necessary , to keep the chicken covered while simmering', 'carefully remove the chicken to a cutting board', 'when it is cool enough to handle , discard the skin and bones', 'hand-shred the meat into a storage container and reserve for soups and salads', 'strain the stock into another pot through a fine sieve or a strainer lined with cheesecloth to remove excess fat and the vegetable solids', 'use the stock immediately , or if you plan on storing it , place the pot in a sink full of ice water and stir to cool down the stock', 'transfer to a storage container , cover and refrigerate for up to 1 week , or freeze for up to 6 months']","recipe courtesy tyler florence
show: tyler's ultimate episode: risotto","['extra virgin olive oil', 'unsalted butter', 'shallots', 'chanterelle mushroom', 'porcini mushroom', 'fresh thyme', 'fresh bay leaf', 'white wine', 'salt & freshly ground black pepper', 'arborio rice', 'chicken stock', 'fresh parsley', 'parmesan cheese', 'white truffle', 'free-range chicken', 'rutabaga', 'carrots', 'celery ribs', 'onions', 'turnip', 'garlic', 'bay leaves', 'whole black peppercorn']",23,8,13
spinach with ground beef,461289,25,"[758.0, 85.0, 18.0, 11.0, 93.0, 100.0, 5.0]",7,"['saute the onion with olive oil and butter for about 2-3 minutes on medium heat in the medium sized pot', 'then add the ground beef , salt and pepper , then stir', 'cook together until the colour of the ground beef turns to light brown', 'add the rice , tomato , red pepper paste and crushed tomato , stir again', 'place the spinach all over and close the lid', 'cook on medium heat until the rice is tender without adding water', 'place the dish in a service plate and put a couple of spoons of garlic yogurt sauce over the top']",this is a great recipe i got off of a turkish cookbook blog.  so easy and so yummy even my 3 yr old liked it.,"['baby spinach', 'ground beef', 'olive oil', 'butter', 'rice', 'tomatoes', 'red pepper paste', 'canned tomatoes', 'salt', 'pepper', 'garlic', 'yogurt']",12,9,14
moms winter tomato pudding,300576,70,"[135.8, 11.0, 32.0, 20.0, 5.0, 22.0, 5.0]",16,"['melt the butter in a skillet over medium low heat and add the chopped onion', 'saute until the onion is transparent , about 10 minutes', 'add the brown sugar , salt , pepper , and marjoram and stir well to combine', 'add the bread cubes and toss to coat with the seasoned butter', 'remove from the heat and reserve', 'place the tomatoes in a mixing bowl and break them up into chunks by crushing against the side of the bowl with the back of a heavy spoon', 'add the tomato paste and blend until smooth', 'reserve', 'preheat the oven to 350f generously butter a shallow 2 quart baking dish', 'spoon about half of the tomato mixture into the baking dish and top with half of the bread mixture', 'repeat', 'scatter the sliced onion over the bread cubes and dot with additional butter', 'bake for 35 to 40 minutes , or until tomatoes are thick and bubbling and onion is nicely browned', 'serve warm', 'serves 10-12', 'john hadamuscins enchanted evenings']","if you have home canned tomatoes, by all means use them; the best store bought substitute is imported italian plum tomatoes.","['butter', 'onion', 'dark brown sugar', 'salt', 'fresh ground black pepper', 'dried marjoram', 'bread cubes', 'plum tomatoes', 'tomato paste']",9,1,17
easy refried refried beans,41168,25,"[143.6, 7.0, 3.0, 23.0, 16.0, 11.0, 5.0]",7,"['gently fry the bacon until near crisp', 'add onion to the bacon grease and saute until tender', 'add the refried beans and water', 'stir and simmer until creamy and heated through', 'place in a serving bowl and top with shredded cheese', 'the heat of the beans will melt the cheese', 'serve with hot tortillas and / or tostada chips']",my sister-in-law who was born and raised in mexico city shared this recipe for sprucing up canned refried beans. they taste like you've been cooking them for hours.,"['bacon', 'onion', 'refried beans', 'water', 'monterey jack cheese']",5,9,13
hawaiian ice cream,468286,20,"[408.2, 48.0, 97.0, 1.0, 6.0, 105.0, 10.0]",6,"['whisk milk and sugar together until sugar is dissolved', 'stir in cream , vanilla , coconut , pineapple , and banana', 'puree in blender until still slightly chunky', 'freeze in ice cream maker according to manufactures directions', 'freeze until hard in the freezer', 'enjoy !']","this ice cream takes a bit more time than others, but its well worth it!

cooking time is freezing time.","['milk', 'sugar', 'heavy cream', 'vanilla', 'unsweetened dried shredded coconut', 'pineapple', 'mashed banana']",7,5,3
fish and veggie chowder,255091,40,"[443.5, 20.0, 60.0, 31.0, 55.0, 26.0, 18.0]",15,"['fry bacon in a 5 quart pot until crisp', 'drain on paper towels , then crumble', 'discard all but 1 tablespoon fat', 'add potatoes , onions , carrots and celery to pot', 'saute over medium-high heat 4 minutes or until onions wilt', 'add seasonings , water and broth cubes', 'bring to a boil , reduce heat , cover and simmer 6 to 8 minutes until vegetables are tender', 'add corn , fish and 4 cups of milk to pot', 'return to a simmer', 'whisk flour into remaining 1 cup milk until blended', 'stir into chowder', 'add salt', 'cook , stirring gently , 4 to 6 minutes until fish is cooked and chowder thickens slightly', 'ladle into bowls', 'sprinkle with bacon']",now that it is getting cooler here this is a great filling chowder!  serve with oyster crackers.,"['bacon', 'red potatoes', 'onions', 'carrots', 'celery', 'old bay seasoning', 'water', 'chicken bouillon cubes', 'corn', 'cod', 'whole milk', 'flour', 'salt']",13,3,13
tvp breakfast sausage,313001,9,"[49.6, 4.0, 6.0, 17.0, 7.0, 4.0, 0.0]",8,"['add salt and spices to water , bring to boil', 'add tvp', 'remove from heat , stir well , and allow to cool enough to mix with eggs', 'beat egg with sugar , add tvp mixture', 'form patties - extra may be frozen', 'fry up and enjoy !', ""i'm not sure what the sugar's for - the original recipe called for more sweetener than this and it came out quite sweet"", ""i left in a little to help the sausage brown up , but i'm sure the recipe would be fine without it !""]","a delicious, lightly seasoned breakfast sausage made from tvp (textured vegetable protein). found on a low-carber website when searching for tvp sausage recipes, made small modifications. in our supermarkets, tvp is located with 'specialty flours' like rye and rice.","['water', 'textured vegetable protein', 'ground savory', 'ground thyme', 'black pepper', 'sage', 'salt', 'sugar', 'eggs']",9,2,8
au gratin potatoes a la fitz,487428,40,"[352.8, 23.0, 7.0, 9.0, 27.0, 41.0, 13.0]",6,"['make a roux with flour and fat', ""if i don't have fat , butter is darn close"", 'add milk , bring to boil and thicken for 1 minute', 'add cheese , stir , and remove from heat', 'meanwhile , boil diced potatoes until tender but still firm and drain', 'mix with cheese sauce , top with paprika , and bake around 450 degrees fahrenheit until top is golden']","this is a marvellous side dish, or even a tasty main meal if you feel like sitting in front of the television on a cold night!!!!!!","['chicken fat', 'flour', 'milk', 'sharp cheddar cheese', 'potatoes', 'bacon', 'salt', 'pepper']",8,10,29
onion pepper steak sandwiches,39719,20,"[305.1, 17.0, 25.0, 49.0, 41.0, 19.0, 9.0]",8,"['in a large skillet , saute the onion and peppers in 2 tablespoons of mayonnaise until crisp-tender', 'remove vegetables and keep warm', 'reduce heat', 'add the italian dressing , roast beef and remaining mayonnaise to the skillet', 'cook and stir until heated through , about 5 minutes', 'place beef and vegetables on rolls', 'top with mozzarella cheese', 'rolls can be topped with the mozzarella cheese and placed under the broiler for 5 minutes']",i got this recipe from the quick cooking magazine and it is delicious. i actually found something that pleases my whole family.,"['onion', 'green pepper', 'red pepper', 'mayonnaise', 'italian salad dressing', 'deli roast beef', 'sandwich buns', 'mozzarella cheese']",8,7,14
carrot   peanut soup,253711,55,"[335.8, 31.0, 61.0, 13.0, 20.0, 15.0, 11.0]",5,"['brown onion in a large saucepan with olive oil , then add chilli powder , cumin and coriander and carrots and saute for 5 minutes', 'add stock and cook , covered on medium heat for 20mins or until carrots are very soft', 'transfer to food processor or blender and process until smooth', 'return to pot and add peanut butter , stir over low heat until mixed through', 'serve with crushed peanuts as garnish']",great comfort food and a soup that definitely stands out from the regulars. can vary the heat in this for anything from no heat to through-the-roof spicy.,"['carrot', 'crunchy peanut butter', 'vegetable stock', 'onion', 'chili powder', 'salt and pepper', 'cumin', 'coriander', 'dry-roasted unsalted peanuts', 'olive oil']",10,1,30
brownie bottom cheesecake,39472,85,"[394.8, 41.0, 51.0, 11.0, 14.0, 73.0, 11.0]",8,"['prepare and bake brownie mix as directed on package for 8 inch square pan in well greased 9 inch springform pan', 'mix cream cheese , sugar and vanilla with electric mixer on medium speed until well blended', 'blend in sour cream', 'add eggs , mixing on low speed just until blended', 'bake at 325 for 60 to 65 minutes or until center is almost set if using a silver springform pan', 'run knife or metal spatula around rim of pan to loosen cake', 'cool before removing rim of pan', 'refrigerate 4 hours or overnight']","what can i say? yummy if you love cheesecake-like me :) i found with this recipe, if you refrigerate for 4 hours or overnight, the taste is just as delicious.","['brownie mix', 'philadelphia cream cheese', 'sugar', 'vanilla', 'sour cream', 'eggs']",6,9,9
garlic pepper pork chops,97961,55,"[163.1, 7.0, 20.0, 14.0, 42.0, 7.0, 2.0]",4,"['combine all ingredients in a self-sealing plastic bag large enough to hold chops', 'marinate pork in mixture 30 minutes', 'prepare medium-hot coals in grill bed', 'remove pork from marinade , place 5 inches over coals and grill for 12-15 minutes , turning once and basting with marinade']","if you like fresh ground pepper, this is the recipe for you. these pork chops are tender and spicy. i found this recipe in our local newspaper. cook time includes marinading.","['boneless center cut pork chops', 'garlic', 'ground coriander', 'fresh coarse ground black pepper', 'brown sugar', 'worcestershire sauce']",6,3,8
creamed mashed potatoes  from instant,367225,4,"[301.6, 22.0, 9.0, 15.0, 20.0, 46.0, 10.0]",8,"['in large saucepan bring water and milk to rolling boil', 'remove from heat and add the contents of both envelopes of instant potatos', 'let stand 1 minute', 'whip with a fork', 'place cream cheese in microwave and heat at 70% power for 45 seconds', 'stir into potatoes and transfer to a 1-qt baking dish', 'sprinkle with cheese', 'broil 4"" from heat for 3-4 minutes , until cheese is melted']",for those moments when you don't feel like peeling potatoes...  it is really good and does not taste like instant potatoes!,"['water', 'milk', 'instant roasted garlic mashed potatoes', 'cream cheese', 'mexican blend cheese']",5,3,23
